nome_arquivo,hash_origem,hash_destino,status
LVT299-001.bam.bai,,24cde8f5bdff5c1590f55eb2dcb379ca,Diferente
LVT299-002.bam,,c8b66a21ae0ce41b42dfdc3a406e8dbb,Diferente
LVT299-002.bam.bai,,bc265741ac4c1e79d797be9bb62a1056,Diferente
NRY346-001.bam,,3fff98baab331508f913e2c4e954c5a3,Diferente
NRY346-001.bam.bai,,850b06fb6b40f3aa8e1465f32fe15ed4,Diferente
NRY346-002.bam,,67e725ea7c6d70fc2f1c0e87a8bdd38a,Diferente
NRY346-002.bam.bai,,0640297427fc96ed02f45b680ca7300f,Diferente
OUT_MKV036-001.bqrecal.bam.bai,,f1add2be03ccd031e7e2efdcb74b5f31,Diferente
OUT_BYA201-001.bqrecal.bam,,235495627434dfb1a66ecec39cf46f1e,Diferente
OUT_MKV036-002.bqrecal.bam,,0cc4ddc80444f01e2da66c9f9cd665c7,Diferente
OUT_BYA201-001.bqrecal.bam.bai,,bf61201f9e83cc874041b76297ca3ebd,Diferente
OUT_MKV036-002.bqrecal.bam.bai,,dd8819cdf6ce31270a6f61ff28530c7a,Diferente
OUT_BYA201-002.bqrecal.bam,,53834751531287bdca06c21230cf5516,Diferente
OUT_OIR825-001.bqrecal.bam,,fc9021cf8a01ea127fbe3ca2a4f0033e,Diferente
OUT_BYA201-002.bqrecal.bam.bai,,0bcc0b223caa00e05c53dd78641e0cc6,Diferente
OUT_OIR825-002.bqrecal.bam,,aae81da500e1001be6318461ff3c9c3b,Diferente
OUT_EHM365-001.bqrecal.bam,,3dbcdaa27ffe104232ce1e8d4682bf86,Diferente
OUT_OIR825-001.bqrecal.bam.bai,,952556f606893929096f1e6510962fee,Diferente
OUT_EHM365-001.bqrecal.bam.bai,,e759e5b3ef51984c84f72acf083b211e,Diferente
OUT_OIR825-002.bqrecal.bam.bai,,7f41e6931f509e3ef00730fb9022f885,Diferente
OUT_EHM365-002.bqrecal.bam,,08e1d321452e03ec0d2c64b0516f13a6,Diferente
OUT_PQY890-001.bqrecal.bam,,b41b8d5d7af0b242de9e4f60972730d2,Diferente
OUT_EHM365-002.bqrecal.bam.bai,,7d4cb20f1a50afaa60e7fc7d6f29f5f4,Diferente
OUT_PQY890-001.bqrecal.bam.bai,,b583e652062951d0ae9e3bee505130b9,Diferente
OUT_GET700-001.bqrecal.bam,,6121526dbf283b7cffecc4f70e4fc93f,Diferente
OUT_PQY890-002.bqrecal.bam,,0279dfad5d9bd75918b921b33ed625d8,Diferente
OUT_GET700-001.bqrecal.bam.bai,,807199a98938f3844f286130642a3447,Diferente
QQD540-002.bam.bai,,96136bb340bdff596efd38f345c5072d,Diferente
OUT_GET700-002.bqrecal.bam,,79c6900697e99e02a16c65cb765126a2,Diferente
QQD540-002.bam,,d78818e504c8d96d99c1d3d2f19e980d,Diferente
OUT_GET700-002.bqrecal.bam.bai,,7e00312d23ef68924e54d6e1fa716d03,Diferente
OUT_RIZ598-001.bqrecal.bam,,5ada5432950f06dccfcb3a071a1e4fc7,Diferente
OUT_GSG331-001.bqrecal.bam,,6a6115b1b797ba6f62f934bb49ce690a,Diferente
OUT_RIZ598-001.bqrecal.bam.bai,,c093113dc5e0d10dda7ad9bfd64d804c,Diferente
OUT_GSG331-001.bqrecal.bam.bai,,85f435464427d6ff08ea32993ad94e4b,Diferente
OUT_RIZ598-002.bqrecal.bam,,59fa7b908155ec653511397e5cd8e3c7,Diferente
OUT_GSG331-002.bqrecal.bam,,9d2bc33cbf5498edc88d48695c1f4c53,Diferente
OUT_RIZ598-002.bqrecal.bam.bai,,799bda834f98c96b6cb524849f188967,Diferente
OUT_GSG331-002.bqrecal.bam.bai,,dbb91edc85b44229cf147ebc77583bb0,Diferente
ROB069-001.bam,,b3305e6143d4c194123ca78578bf9393,Diferente
OUT_HJR284-001.bqrecal.bam,,4be681fa9aecfdc64c34616a81e8a52a,Diferente
ROB069-001.bam.bai,,5d53c77995678c8b093c995c794f9ab1,Diferente
OUT_HJR284-001.bqrecal.bam.bai,,610f3c1447d4c86b0238d68363af5ce8,Diferente
ROB069-002.bam,,f369344c7c023c9fcbb7601f9846ff85,Diferente
OUT_HJR284-002.bqrecal.bam,,4a0f3335ebd3475f960e2a5f3849e6e6,Diferente
ROB069-002.bam.bai,,9ac2de87422064afd13820f03e430c59,Diferente
OUT_HJR284-002.bqrecal.bam.bai,,44a41fc68f57b016865ed9f247b03aa7,Diferente
RSG172-001.bam,,e9b5df27d063e9dc5d49579f239f2c6b,Diferente
OUT_KNP145-001.bqrecal.bam,,4e0cefd2a8c22d9443fec6044c710556,Diferente
RSG172-001.bam.bai,,64b12841c1357bd582667957ac82b000,Diferente
OUT_KNP145-001.bqrecal.bam.bai,,35344e973dd5afa6097ecff73a4c2b41,Diferente
RSG172-002.bam,,ea2b90213571418d512f911f3f9fd4fe,Diferente
OUT_KNP145-002.bqrecal.bam,,9655941c9b11361215c5a86552fda578,Diferente
RSG172-002.bam.bai,,b2e9042e6e3f30e82cba8431de2a2e70,Diferente
OUT_KNP145-002.bqrecal.bam.bai,,e0af08ce6b7939b6aac827065d431371,Diferente
OUT_SMJ921-001.bqrecal.bam,,ebb56e2c0950ee919f2eae81251a5f55,Diferente
OUT_MKV036-001.bqrecal.bam,,4fcf75467ad99ee9f3d9fb49ab3fba4f,Diferente
OUT_PQY890-002.bqrecal.bam.bai,,720e2d77f8fc92aeddd2acb8b0f41956,Diferente
OUT_SMJ921-001.bqrecal.bam.bai,,a182d6aba47f2925341c3be73eb6eefd,Diferente
OUT_QQC543-001.bqrecal.bam,,35012dee77d970ad97f532c069ec09d7,Diferente
OUT_SMJ921-002.bqrecal.bam,,a97298c175b43852fc307ca45f84bb25,Diferente
OUT_QQC543-001.bqrecal.bam.bai,,07f70299afa2190fe17e959bd82efba7,Diferente
OUT_SMJ921-002.bqrecal.bam.bai,,9b1c4a81c0925a0923f2bcde5ac5bb19,Diferente
OUT_QQC543-002.bqrecal.bam,,ed1470f6e1af55f0e349cfae2392d1bd,Diferente
OUT_SXQ768-001.bqrecal.bam,,fd88c68306b968ad8bc907d33826c3a1,Diferente
OUT_QQC543-002.bqrecal.bam.bai,,2e168b4f900ce315d917c2fb6dc3fa36,Diferente
TOL588-001.bam,,807df61906e9e869b0cb56ea74083ccb,Diferente
QQD540-001.bam,,23e72cff8b7202cc510a0d48cc896f37,Diferente
OUT_SXQ768-002.bqrecal.bam,,43087f8a8f1c6f827186b1b5a4d6729e,Diferente
QQD540-001.bam.bai,,8acb4fc16570304d25baca876e73dfd9,Diferente
OUT_YDU591-002.bqrecal.bam.bai,,adac4f43a53125252f22b55ba8565dc7,Diferente
OUT_SXQ768-001.bqrecal.bam.bai,,5d88474e6f3d22de05f11286b9a5fecc,Diferente
OUT_SXQ768-002.bqrecal.bam.bai,,aa509e209efe25f1992d1443dc67ab1f,Diferente
OUT_TJS330-001.bqrecal.bam,,e95f865065abb0e3586464257a14de62,Diferente
OUT_TJS330-001.bqrecal.bam.bai,,5f0aad55d7fea0b84052fe4a7fe696f7,Diferente
