Filename,Sample ID,A01,Array Barcode
a550995-4464489-072424-019_H01.ARR,,9SR37899,019
a550995-4464489-072424-019_H02.ARR,,9SR37899,019
a550995-4464489-072424-019_H03.ARR,,9SR37899,019
a550995-4464489-072424-019_H04.ARR,,9SR37899,019
a550995-4464489-072424-019_H05.ARR,,9SR37899,019
a550995-4464489-072424-019_H06.ARR,,9SR37899,019
a550995-4464489-072424-019_H07.ARR,,9SR37899,019
a550995-4464489-072424-019_H08.ARR,,9SR37899,019
a550995-4464489-072424-019_H09.ARR,,9SR37899,019
a550995-4464489-072424-019_H10.ARR,,9SR37899,019
a550995-4464489-072424-019_H12.ARR,,9SR37899,019
a550995-4464489-072424-020_A01.ARR,,9SR37891,020
a550995-4464489-072424-020_A02.ARR,,9SR37891,020
a550995-4464489-072424-020_A03.ARR,,9SR37891,020
a550995-4464489-072424-020_A04.ARR,,9SR37891,020
a550995-4464489-072424-020_A05.ARR,,9SR37891,020
a550995-4464489-072424-020_A06.ARR,,9SR37891,020
a550995-4464489-072424-020_A07.ARR,,9SR37891,020
a550995-4464489-072424-020_A08.ARR,,9SR37891,020
a550995-4464489-072424-020_A09.ARR,,9SR37891,020
a550995-4464489-072424-020_A10.ARR,,9SR37891,020
a550995-4464489-072424-020_A11.ARR,,9SR37891,020
a550995-4464489-072424-020_A12.ARR,,-,020
a550995-4464489-072424-020_B01.ARR,,9SR37891,020
a550995-4464489-072424-020_B02.ARR,,9SR37891,020
a550995-4464489-072424-020_B03.ARR,,9SR37891,020
a550995-4464489-072424-020_B04.ARR,,9SR37891,020
a550995-4464489-072424-020_B05.ARR,,9SR37891,020
a550995-4464489-072424-020_B06.ARR,,9SR37891,020
a550995-4464489-072424-020_B07.ARR,,9SR37891,020
a550995-4464489-072424-020_B08.ARR,,9SR37891,020
a550995-4464489-072424-020_B09.ARR,,9SR37891,020
a550995-4464489-072424-020_B10.ARR,,9SR37891,020
a550995-4464489-072424-020_B11.ARR,,9SR37891,020
a550995-4464489-072424-020_B12.ARR,,9SR37891,020
a550995-4464489-072424-020_C01.ARR,,9SR37891,020
a550995-4464489-072424-020_C02.ARR,,9SR37891,020
a550995-4464489-072424-020_C03.ARR,,9SR37891,020
a550995-4464489-072424-020_C04.ARR,,9SR37891,020
a550995-4464489-072424-020_C05.ARR,,9SR37891,020
a550995-4464489-072424-020_C06.ARR,,9SR37891,020
a550995-4464489-072424-020_C07.ARR,,9SR37891,020
a550995-4464489-072424-020_C08.ARR,,9SR37891,020
a550995-4464489-072424-020_C09.ARR,,9SR37891,020
a550995-4464489-072424-020_C10.ARR,,9SR37891,020
a550995-4464489-072424-020_C11.ARR,,9SR37891,020
a550995-4464489-072424-020_C12.ARR,,9SR37891,020
a550995-4464489-072424-020_D01.ARR,,9SR37891,020
